Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-10-29,Liverpool,Nott'm Forest,3,0,H,0.6666666666666666,0.26666666666666666,8,3,2023,84,81,84,83,76,76,75,76,7,-2,1.2581344620000003,0.882109683,0.7111111111111111,0.24444444444444444,2.2,5.8,,0.8,4.6,,84,81,84,83,76,76,75,76
2023-10-29,Man United,Man City,0,3,A,0.6,0.6,7,12,2023,82,84,82,82,87,87,84,85,-2,11,1.01748879,1.34710308,0.4666666666666667,0.6666666666666666,1.2,6.8,,1.6,5.8,,82,84,82,82,87,87,84,85
2023-11-04,Fulham,Man United,0,1,A,0.3333333333333333,0.6,9,4,2023,77,77,76,77,82,84,82,82,-7,-5,0.885413673,0.915739911,0.3333333333333333,0.6666666666666666,0.8,5.4,0.4133333333333333,1.0,6.6,0.43999999999999995,77,77,76,77,82,84,82,82
2023-11-04,Brentford,West Ham,3,2,H,0.4666666666666667,0.4,4,3,2023,75,76,76,77,77,77,77,78,5,2,1.0438880727000002,1.0074051,0.28888888888888886,0.4666666666666667,1.6,4.6,,1.2,5.0,,75,76,76,77,77,77,77,78
2023-11-04,Burnley,Crystal Palace,0,2,A,0.2,0.5333333333333333,12,1,2023,73,74,74,74,75,76,76,76,-13,1,0.5976526437,1.0334231100000002,0.26666666666666666,0.6666666666666666,0.8,6.4,,1.0,5.0,,73,74,74,74,75,76,76,76
2023-11-04,Everton,Brighton,1,1,D,0.6,0.5333333333333333,3,3,2023,79,76,75,77,76,78,78,77,0,7,0.8446532580000001,1.0942919370000002,0.6,0.6888888888888889,1.6,4.4,,2.0,4.4,,79,76,75,77,76,78,78,77
2023-11-04,Man City,Bournemouth,6,1,H,0.6,0.2,12,1,2023,87,87,84,85,74,74,74,74,14,-13,1.448851959,0.6201673713000002,0.5333333333333333,0.06666666666666667,1.6,6.0,,0.8,6.0,0.13333333333333336,87,87,84,85,74,74,74,74
2023-11-04,Sheffield United,Wolves,2,1,H,0.0,0.4666666666666667,4,4,2023,69,73,72,72,78,77,75,77,-14,-4,0.435250179,0.934179058,0.0,0.26666666666666666,0.6,3.2,,1.6,3.8,,69,73,72,72,78,77,75,77
2023-11-05,Luton,Liverpool,1,1,D,0.3333333333333333,0.6666666666666666,4,7,2023,72,71,72,72,84,81,84,83,-9,10,0.6353143470000001,1.3463454303000004,0.4,0.6,1.2,6.0,,2.2,6.6,,72,71,72,72,84,81,84,83
2023-11-06,Tottenham,Chelsea,1,4,A,0.8666666666666667,0.5333333333333333,1,6,2023,83,82,79,81,78,81,79,81,13,3,1.7723137700000002,1.0073249613000002,0.7777777777777778,0.6222222222222222,1.8,5.4,0.8666666666666668,1.6,4.6,,83,82,79,81,78,81,79,81
2023-11-11,Wolves,Tottenham,2,1,H,0.4666666666666667,0.8,11,3,2023,78,77,75,77,83,82,79,81,-5,10,0.8407611522,1.5950823930000002,0.4222222222222222,0.9333333333333333,1.4,4.2,,1.6,4.8,0.8666666666666668,78,77,75,77,83,82,79,81
